FUNDOS;SETOR;PREÇO ATUAL (R$);LIQUIDEZ DIÁRIA (R$);P/VP;ÚLTIMO DIVIDENDO;DIVIDEND YIELD;DY (3M) ACUMULADO;DY (6M) ACUMULADO;DY (12M) ACUMULADO;DY (3M) MÉDIA;DY (6M) MÉDIA;DY (12M) MÉDIA;DY ANO;VARIAÇÃO PREÇO;RENTAB. PERÍODO;RENTAB. ACUMULADA;PATRIMÔNIO LÍQUIDO;VPA;P/VPA;DY PATRIMONIAL;VARIAÇÃO PATRIMONIAL;RENTAB. PATR. PERÍODO;RENTAB. PATR. ACUMULADA;QUANT. ATIVOS
CBOP11;LAJES CORPORATIVAS;31,68;57.696,93;0,43;0,12;0,37%;1,02%;1,99%;7,28%;0,34%;0,33%;0,61%;2,53%;-9,95%;-9,62%;-35,38%;104.424.568,13;74,79;0,42;0,66%;-0,60%;0,05%;-11,06%;1
CCME11;INDEFINIDO;107,95;15.636,35;1,07;0,9;0,82%;0,82%;0,82%;2,48%;0,27%;0,14%;0,25%;0,82%;0,00%;0,00%;N/A;306.443.211,76;N/A;N/A;N/A;N/A;N/A;N/A;2
CCRF11;PAPÉIS;96,55;606.466,00;1,02;1,08;1,14%;3,84%;5,84%;9,67%;1,28%;0,97%;0,81%;7,44%;8,03%;9,27%;16,09%;154.570.326,66;96,46;1;0,57%;-1,87%;-1,31%;2,72%;0
CDII11;INDEFINIDO;106,09;756.559,21;N/A;1,19;1,11%;5,74%;6,83%;6,83%;1,91%;2,28%;2,28%;6,83%;-0,79%;0,31%;7,74%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
CEOC11;LAJES CORPORATIVAS;50,48;108.227,52;0,65;0,43;0,84%;2,85%;6,39%;12,45%;0,95%;1,07%;1,04%;8,80%;-19,21%;-18,53%;4,58%;142.200.308,68;89,76;0,56;0,55%;-0,08%;0,48%;3,10%;1
CJCT11;LAJES CORPORATIVAS;68;34.210,91;1,03;0,08;0,12%;0,87%;24,98%;25,18%;0,29%;4,16%;2,10%;20,45%;4,62%;4,74%;51,92%;207.716.568,66;57,9;1,17;0,00%;0,58%;0,58%;0,58%;1
CNES11;LAJES CORPORATIVAS;23,9;14.487,89;0,26;0,07;0,27%;0,87%;1,79%;4,18%;0,29%;0,30%;0,35%;2,22%;-0,36%;-0,09%;-8,04%;267.683.433,14;89,5;0,27;0,12%;2,57%;2,70%;4,26%;1
CPFF11;FUNDO DE FUNDOS;78,99;405.903,24;0,93;0,7;0,90%;2,82%;4,85%;9,51%;0,94%;0,81%;0,79%;6,06%;2,28%;3,20%;27,83%;214.439.976,69;78,73;1;0,76%;-2,56%;-1,82%;6,71%;0
CPSH11;INDEFINIDO;119,99;17.388,07;1,03;1,1;0,95%;1,91%;1,91%;1,91%;1,91%;1,91%;1,91%;1,91%;1,84%;2,81%;2,81%;259.904.912,03;N/A;N/A;N/A;N/A;N/A;N/A;1
CPTI11;FUNDO DE DESENVOLVIMENTO;101,46;665.068,31;N/A;1,5;1,44%;3,57%;6,44%;12,39%;1,19%;1,07%;1,03%;8,39%;2,05%;3,52%;15,02%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
CPTR11;INDEFINIDO;97,24;1.356.258,38;0,97;1,2;1,22%;3,98%;8,25%;16,94%;1,33%;1,38%;1,41%;9,73%;0,82%;2,05%;9,57%;407.099.622,50;98,38;0,99;1,37%;-0,31%;1,06%;2,50%;0
CPTS11;PAPÉIS;90;6.752.202,83;0,99;0,89;1,01%;3,06%;6,00%;11,41%;1,02%;1,00%;0,95%;6,96%;0,61%;1,62%;16,25%;2.891.181.369,43;89,93;1;0,41%;-1,83%;-1,42%;1,66%;0
CRAA11;INDEFINIDO;101,53;193.794,76;1;1,36;1,33%;3,98%;8,51%;8,51%;1,33%;1,70%;1,70%;8,51%;-1,01%;0,30%;7,16%;50.166.549,21;101,38;1;1,23%;0,00%;0,00%;0,00%;0
CRFF11;FUNDO DE FUNDOS;81,9;40.967,21;0,92;0,63;0,76%;2,33%;5,08%;10,43%;0,78%;0,85%;0,87%;6,96%;3,63%;4,42%;37,83%;62.362.307,70;84,58;0,97;0,74%;-5,68%;-4,98%;5,54%;0
