FUNDOS;SETOR;PREÇO ATUAL (R$);LIQUIDEZ DIÁRIA (R$);P/VP;ÚLTIMO DIVIDENDO;DIVIDEND YIELD;DY (3M) ACUMULADO;DY (6M) ACUMULADO;DY (12M) ACUMULADO;DY (3M) MÉDIA;DY (6M) MÉDIA;DY (12M) MÉDIA;DY ANO;VARIAÇÃO PREÇO;RENTAB. PERÍODO;RENTAB. ACUMULADA;PATRIMÔNIO LÍQUIDO;VPA;P/VPA;DY PATRIMONIAL;VARIAÇÃO PATRIMONIAL;RENTAB. PATR. PERÍODO;RENTAB. PATR. ACUMULADA;QUANT. ATIVOS
LSPA11;PAPÉIS;102;14.382,00;0,89;0,81;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;46.257.916,55;N/A;N/A;N/A;N/A;N/A;N/A;0
LUGG11;FUNDO DE DESENVOLVIMENTO;89;108.421,55;0,72;0,6;0,67%;2,20%;4,61%;8,92%;0,73%;0,77%;0,74%;6,14%;8,62%;9,34%;29,73%;139.619.195,54;127,87;0,7;0,41%;0,07%;0,48%;7,38%;5
LVBI11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;117,1;2.489.029,10;1,01;0,79;0,68%;2,01%;4,26%;8,58%;0,67%;0,71%;0,72%;5,79%;-0,60%;0,08%;19,99%;1.363.563.218,56;115,51;1,01;0,65%;-0,03%;0,62%;4,47%;8
MALL11;SHOPPINGS;116,17;2.983.010,79;0,98;0,85;0,72%;2,09%;4,34%;8,81%;0,70%;0,72%;0,73%;5,89%;1,57%;2,30%;20,19%;1.092.773.094,77;107,86;1,08;0,72%;1,59%;2,33%;3,97%;9
MANA11;INDEFINIDO;9,54;177.749,83;0,98;0,11;1,09%;3,39%;6,79%;13,51%;1,13%;1,13%;1,13%;8,98%;0,90%;2,00%;8,91%;193.050.632,43;N/A;N/A;N/A;N/A;N/A;N/A;0
MATV11;INDEFINIDO;86,63;13.027,43;0,92;0,6;0,73%;3,11%;4,87%;12,28%;1,04%;0,81%;1,02%;1,93%;-1,41%;-0,69%;-1,08%;39.926.993,67;92,09;0,94;0,87%;-1,34%;-0,49%;-0,81%;0
MAXR11;VAREJO;73,8;172.313,66;0,59;0,73;0,99%;2,92%;6,27%;11,05%;0,97%;1,05%;0,92%;7,67%;-1,92%;-0,95%;12,25%;138.814.486,46;120,18;0,61;0,54%;0,02%;0,56%;4,29%;8
MCCI11;PAPÉIS;96,76;3.883.597,48;1;0,9;0,95%;2,98%;6,27%;13,15%;0,99%;1,05%;1,10%;7,36%;0,56%;1,52%;10,24%;1.626.591.564,89;92,4;1,05;1,19%;-2,01%;-0,85%;3,25%;0
MCHF11;PAPÉIS;9,36;943.243,38;0,97;0,09;0,97%;3,16%;6,59%;13,54%;1,05%;1,10%;1,13%;7,73%;-0,53%;0,43%;9,40%;309.582.364,03;9,37;1;1,17%;-1,49%;-0,33%;0,21%;0
MCHY11;PAPÉIS;110,32;43.100,21;1,1;1,3;1,17%;3,66%;7,45%;17,10%;1,22%;1,24%;1,43%;8,72%;-1,21%;-0,05%;9,00%;362.523.112,28;99,69;1,11;3,41%;-3,72%;-0,43%;9,03%;0
MFAI11;FUNDO DE FUNDOS;66,48;28.362,31;0,89;0,52;0,78%;2,35%;4,45%;10,35%;0,78%;0,74%;0,86%;6,45%;-3,61%;-2,86%;23,12%;27.420.997,56;70,49;0,94;0,61%;-8,86%;-8,30%;-6,29%;0
MFII11;FUNDO DE DESENVOLVIMENTO;94,08;422.719,34;0,93;1,07;1,12%;3,41%;7,01%;13,91%;1,14%;1,17%;1,16%;9,31%;-0,34%;0,77%;11,99%;429.837.983,35;99,09;0,95;1,12%;-1,83%;-0,73%;2,53%;8
MGCR11;PAPÉIS;9,4;259.145,59;0,96;0,33;0,00%;1,18%;4,72%;11,50%;0,39%;0,79%;0,96%;6,90%;0,00%;0,00%;N/A;131.240.792,97;89,93;0,1;1,00%;-2,99%;-2,02%;4,14%;0
MGFF11;FUNDO DE FUNDOS;67,69;1.253.310,10;0,9;0,55;0,81%;2,36%;4,96%;10,33%;0,79%;0,83%;0,86%;6,94%;-2,08%;-1,29%;24,59%;684.494.404,32;72,45;0,93;0,73%;-6,10%;-5,41%;-2,96%;0
MGHT11;HOTÉIS;64,53;121.374,00;0,74;0,6;0,86%;3,34%;7,36%;14,20%;1,11%;1,23%;1,18%;8,69%;3,86%;4,76%;33,74%;114.995.993,58;85,61;0,75;0,76%;-0,45%;0,30%;-6,08%;1
MGLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;40,99;55.314,19;0,55;0,35;0,86%;2,58%;4,56%;11,69%;0,86%;0,76%;0,97%;0,86%;-3,60%;-2,77%;-2,77%;116.088.485,68;61,55;0,67;0,57%;57,54%;58,43%;-18,62%;2
MORC11;PAPÉIS;92;417.616,24;0,92;0,98;1,05%;3,40%;7,07%;14,18%;1,13%;1,18%;1,18%;8,26%;-1,28%;-0,24%;6,08%;189.941.494,30;96,98;0,95;1,13%;-0,73%;0,40%;3,30%;0
MORE11;FUNDO DE FUNDOS;76,6;507.301,72;0,9;0,6;0,79%;2,50%;5,36%;10,68%;0,83%;0,89%;0,89%;6,43%;2,12%;2,92%;24,90%;198.130.030,65;83,3;0,92;0,72%;-5,04%;-4,36%;-2,74%;0
MXRF11;PAPÉIS;10,94;9.735.879,41;1,09;0,11;1,00%;3,22%;6,64%;12,61%;1,07%;1,11%;1,05%;8,89%;2,33%;3,36%;18,77%;2.592.330.747,84;10,1;1,08;0,79%;-0,97%;-0,18%;4,70%;3
NAVT11;PAPÉIS;89,81;379.243,72;0,94;1;1,08%;3,12%;6,60%;13,30%;1,04%;1,10%;1,11%;7,80%;4,05%;5,18%;35,77%;101.895.545,43;89,84;1;0,95%;-3,92%;-3,02%;0,49%;0
NCHB11;PAPÉIS;83;396.783,38;0,9;0,91;1,08%;3,20%;7,31%;14,59%;1,07%;1,22%;1,22%;9,66%;-0,73%;0,34%;2,30%;155.903.400,38;90,18;0,92;1,11%;-1,14%;-0,04%;3,18%;0
NCRA11;INDEFINIDO;11,02;283.390,52;0,97;0,12;1,05%;3,92%;7,69%;16,85%;1,31%;1,28%;1,40%;9,09%;1,44%;2,50%;18,47%;43.087.632,24;10,56;1,04;0,97%;0,00%;0,00%;0,00%;0
NCRI11;PAPÉIS;9,05;2.997,48;0,88;0,07;0,78%;2,57%;5,98%;7,08%;0,86%;1,00%;0,89%;7,08%;-3,44%;-2,69%;-0,30%;40.634.429,35;N/A;N/A;N/A;N/A;N/A;N/A;0
NEWL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;104,2;718.078,21;0,88;0,95;0,85%;2,95%;5,73%;11,63%;0,98%;0,96%;0,97%;7,60%;-3,22%;-2,39%;23,12%;239.636.392,56;120,99;0,86;0,74%;-0,31%;0,44%;13,74%;3
NEWU11;LAJES CORPORATIVAS;73,01;118.217,22;1,06;0,2;0,27%;0,73%;1,33%;31,46%;0,24%;0,22%;2,62%;1,72%;-0,48%;-0,21%;69,17%;51.239.153,98;64,92;1,12;0,12%;-0,31%;-0,19%;-0,19%;3
NSLU11;HOSPITALAR;184,5;95.576,24;0,95;1,54;0,78%;2,50%;5,22%;10,52%;0,83%;0,87%;0,88%;7,07%;8,69%;9,54%;27,30%;258.052.426,33;194,78;0,95;0,77%;0,05%;0,82%;3,11%;1
NVHO11;HOSPITALAR;10,53;3.970,55;0,75;0,08;0,76%;2,41%;4,61%;9,37%;0,80%;0,77%;0,78%;6,14%;7,22%;8,03%;16,83%;580.731.605,94;12,75;0,83;0,65%;0,05%;0,70%;6,35%;4
NVIF11B;FUNDO DE DESENVOLVIMENTO;227,5;N/A;0,62;0,89;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;123.817.172,28;295,65;0,77;0,15%;2,87%;3,03%;17,70%;2
OGHY11;INDEFINIDO;10,3;6.096,76;1,06;0,13;1,27%;3,85%;7,69%;7,69%;1,28%;1,54%;1,54%;7,69%;0,79%;2,07%;6,59%;20.112.928,05;N/A;N/A;N/A;N/A;N/A;N/A;0
OIAG11;INDEFINIDO;9,42;244.996,76;0,98;0,13;1,29%;3,82%;7,46%;16,32%;1,27%;1,24%;1,36%;10,66%;0,94%;2,24%;1,04%;88.407.370,91;9,79;0,96;1,12%;0,00%;0,00%;0,00%;0
ONEF11;LAJES CORPORATIVAS;199,64;41.598,66;0,89;1,02;0,51%;1,55%;3,19%;6,51%;0,52%;0,53%;0,54%;4,32%;0,91%;1,42%;20,54%;209.516.806,41;201,4;0,99;0,46%;15,10%;15,63%;21,27%;1
ORPD11;FUNDO DE DESENVOLVIMENTO;93;402,75;0,63;1,38;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;42.524.987,27;124,68;0,75;1,11%;0,95%;2,06%;2,06%;0
OUFF11;FUNDO DE FUNDOS;73,95;122.068,14;0,94;0,72;0,97%;3,04%;6,41%;12,91%;1,01%;1,07%;1,08%;7,52%;2,58%;3,57%;24,53%;142.277.064,19;76,15;0,97;0,92%;-5,19%;-4,32%;5,61%;3
OUJP11;PAPÉIS;101,3;556.461,55;1,03;1,1;1,08%;3,48%;7,42%;14,93%;1,16%;1,24%;1,24%;9,95%;0,32%;1,40%;13,55%;321.102.643,06;99,94;1,01;1,20%;-1,18%;0,01%;13,55%;0
OULG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;41,1;139.942,52;0,61;0,42;1,00%;3,02%;6,26%;9,87%;1,01%;1,04%;0,82%;7,30%;1,60%;2,62%;4,76%;167.821.953,20;73,26;0,56;0,27%;0,03%;0,31%;0,75%;2
OURE11;MISTO;82,7;109.531,45;0,89;0,8;0,94%;3,36%;7,25%;14,92%;1,12%;1,21%;1,24%;8,60%;0,55%;1,49%;11,50%;99.426.694,47;92,02;0,9;1,14%;-2,16%;-1,04%;11,12%;4
PABY11;FUNDO DE DESENVOLVIMENTO;24;1.777,52;N/A;0,13;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;-14.548.034,91;251,42;0,1;0,00%;1,74%;1,74%;5,49%;15
PATC11;FUNDO DE DESENVOLVIMENTO;70,9;765.351,76;0,98;1,4;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;254.830.960,26;79,1;0,9;0,35%;-7,17%;-6,84%;-4,71%;7
PATL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;71,1;603.091,79;0,73;0,6;0,82%;2,35%;5,12%;9,96%;0,78%;0,85%;0,83%;6,93%;-0,35%;0,46%;11,47%;491.662.611,58;98,01;0,73;0,59%;-0,10%;0,49%;6,74%;5
PEMA11;PAPÉIS;37,5;1.043,00;0,51;0,42;0,90%;4,79%;9,17%;14,87%;1,60%;1,53%;1,24%;10,72%;-9,62%;-8,80%;-30,69%;40.473.090,64;N/A;N/A;N/A;N/A;N/A;N/A;0
PLCA11;INDEFINIDO;90,5;27.645,00;0,88;1,13;1,25%;3,70%;7,54%;14,32%;1,23%;1,26%;1,19%;9,85%;-1,62%;-0,39%;3,98%;52.908.566,97;94,99;0,95;1,18%;0,00%;0,00%;0,00%;0
PLCR11;PAPÉIS;91,75;660.398,28;0,99;1;1,10%;3,49%;7,06%;14,23%;1,16%;1,18%;1,19%;9,43%;2,13%;3,25%;17,66%;196.200.010,00;90,84;1,01;1,10%;-1,64%;-0,56%;9,06%;0
PLOG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;66,71;70.165,04;0,63;0,7;0,99%;3,05%;6,10%;12,13%;1,02%;1,02%;1,01%;4,09%;2,01%;3,02%;0,55%;79.648.071,76;100,39;0,66;0,75%;-0,02%;0,72%;8,77%;1
PLRI11;PAPÉIS;18;7.333,76;0,61;0,18;1,01%;2,24%;4,91%;7,58%;0,75%;0,82%;0,63%;8,26%;-5,26%;-4,31%;-20,23%;28.147.285,60;32,96;0,55;0,36%;-1,08%;-0,73%;-14,02%;0
PNDL11;FUNDO DE DESENVOLVIMENTO;1.295,00;1.587.486,50;1,3;0,12;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;96.114.096,00;N/A;N/A;N/A;N/A;N/A;N/A;0
PORD11;PAPÉIS;90,5;556.921,69;0,92;1,03;1,13%;3,42%;7,03%;13,51%;1,14%;1,17%;1,13%;9,45%;-0,48%;0,64%;9,92%;365.594.845,54;97,6;0,93;0,92%;-0,27%;0,65%;9,21%;0
PQAG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;56,95;20.618,04;1;0,44;0,78%;2,36%;4,89%;9,67%;0,79%;0,82%;0,81%;6,53%;1,82%;2,61%;8,78%;799.051.682,53;57,27;0,99;0,77%;-0,03%;0,74%;9,04%;1
PQDP11;SHOPPINGS;1.924,01;158.219,72;0,63;16,73;0,86%;2,61%;6,11%;10,44%;0,87%;1,02%;0,87%;7,46%;-2,06%;-1,21%;-2,34%;766.101.130,08;3.314,36;0,58;0,50%;0,07%;0,57%;1,70%;1
PRSV11;LAJES CORPORATIVAS;83,21;3.487,46;0,39;14,1;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;41.214.748,37;364,23;0,23;0,44%;-0,03%;0,41%;-3,81%;1
PRTS11;SHOPPINGS;117,7;N/A;1.961,67;0,05;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3.111.607,44;N/A;N/A;N/A;N/A;N/A;N/A;2
PVBI11;LAJES CORPORATIVAS;107,82;3.501.713,97;1,05;0,67;0,64%;1,96%;3,92%;7,76%;0,65%;0,65%;0,65%;5,35%;2,27%;2,92%;18,26%;1.226.742.660,75;103,65;1,04;0,55%;4,63%;5,20%;8,21%;3
QAGR11;INDEFINIDO;50,5;549.173,21;0,88;0,43;0,83%;2,76%;5,66%;11,24%;0,92%;0,94%;0,94%;7,62%;5,15%;6,02%;31,03%;290.592.274,50;55,85;0,9;0,73%;-0,08%;0,65%;-1,68%;12
QAMI11;PAPÉIS;76,3;38.077,31;0,83;0,7;0,88%;3,05%;6,74%;12,97%;1,02%;1,12%;1,08%;9,04%;-2,09%;-1,22%;7,74%;75.449.690,86;91,51;0,83;0,87%;-1,61%;-0,75%;10,69%;0
QIRI11;PAPÉIS;78,04;6.867,57;0,87;89,64;0,00%;1,84%;3,81%;8,24%;0,61%;0,64%;0,69%;6,16%;0,00%;0,00%;N/A;13.441.852,95;89,98;0,87;0,73%;6,29%;7,07%;8,72%;0
RBDS11;FUNDO DE DESENVOLVIMENTO;2,91;590,6;0,13;2,35;11,21%;23,43%;54,02%;68,55%;7,81%;9,00%;5,71%;11,21%;-51,20%;-45,73%;-45,73%;2.845.189,29;22,98;0,13;0,00%;0,00%;0,00%;0,00%;0
RBED11;EDUCACIONAL;138,69;714.398,21;0,95;1,43;1,02%;2,97%;6,03%;11,98%;0,99%;1,01%;1,00%;8,11%;2,16%;3,20%;29,40%;339.946.038,11;144,36;0,96;0,85%;2,26%;3,13%;11,72%;7
RBFF11;FUNDO DE FUNDOS;60,68;591.053,90;0,88;0,5;0,81%;2,53%;5,47%;11,10%;0,84%;0,91%;0,93%;7,40%;0,85%;1,67%;24,98%;259.410.163,47;63,99;0,95;0,80%;-4,94%;-4,19%;6,43%;0
RBGS11;SHOPPINGS;28,45;N/A;0,31;0,18;0,62%;1,58%;2,72%;6,17%;0,53%;0,45%;0,51%;5,10%;-1,90%;-1,29%;-25,72%;97.865.283,71;90,78;0,31;0,18%;0,00%;0,18%;1,17%;1
RBHG11;PAPÉIS;89,42;263.774,00;0,97;1,05;1,16%;3,60%;7,41%;15,00%;1,20%;1,24%;1,25%;9,85%;1,39%;2,57%;15,96%;158.729.718,92;92,49;0,97;1,17%;-0,80%;0,36%;9,87%;0
RBHY11;PAPÉIS;95,4;91.986,93;1,03;1,15;1,19%;3,74%;7,63%;15,22%;1,25%;1,27%;1,27%;10,13%;2,05%;3,27%;10,01%;177.423.742,33;94,54;1,01;1,27%;-0,77%;0,49%;12,61%;0
RBIF11;FUNDO DE DESENVOLVIMENTO;100;26.303,38;N/A;1,34;1,32%;4,54%;4,54%;9,63%;1,51%;0,76%;0,80%;5,13%;7,85%;9,27%;13,56%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
RBIR11;FUNDO DE DESENVOLVIMENTO;86,4;46.936,68;0,83;0,46;0,53%;0,96%;3,03%;3,41%;0,32%;0,51%;0,57%;3,03%;3,80%;4,35%;41,17%;158.500.274,98;N/A;N/A;N/A;N/A;N/A;N/A;0
RBLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;100,51;1.865,47;0,99;0,95;0,00%;0,94%;1,90%;7,36%;0,31%;0,32%;0,61%;3,77%;0,00%;0,00%;N/A;65.108.777,70;100,33;1;0,88%;-1,10%;-0,23%;2,59%;1
RBOP11;LAJES CORPORATIVAS;303,96;42.909,52;0,36;2,4;0,77%;1,96%;7,26%;17,91%;0,65%;1,21%;1,49%;10,29%;-8,23%;-7,53%;-43,90%;86.309.331,29;N/A;N/A;N/A;N/A;N/A;N/A;2
RBRD11;VAREJO;39,94;32.055,14;0,57;0,34;0,92%;2,64%;5,37%;10,32%;0,88%;0,90%;0,86%;7,24%;0,05%;0,97%;4,10%;122.601.610,47;68,42;0,58;0,44%;0,05%;0,49%;0,83%;4
RBRF11;FUNDO DE FUNDOS;84,21;3.338.688,62;0,97;0,63;0,74%;2,38%;5,19%;10,38%;0,79%;0,87%;0,87%;6,13%;6,82%;7,61%;32,92%;1.211.192.224,53;82,64;1,02;0,76%;-4,16%;-3,43%;0,81%;0
RBRI11;FUNDO DE DESENVOLVIMENTO;915;48.495,00;0,77;17,86;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;162.915.520,16;N/A;N/A;N/A;N/A;N/A;N/A;0
RBRL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;89,98;597.605,38;0,85;0,72;0,80%;2,19%;4,55%;9,23%;0,73%;0,76%;0,77%;6,25%;-6,28%;-5,53%;17,13%;703.113.124,45;107,25;0,84;0,61%;-0,01%;0,60%;7,47%;6
RBRM11;FUNDO DE DESENVOLVIMENTO;94.794,81;N/A;3,44;2.002,09;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;14.848.062,96;N/A;N/A;N/A;N/A;N/A;N/A;0
RBRP11;LAJES CORPORATIVAS;58,31;1.117.103,00;0,7;0,25;0,42%;1,28%;2,93%;6,43%;0,43%;0,49%;0,54%;4,10%;-5,19%;-4,79%;27,85%;1.003.838.610,33;81,76;0,71;0,33%;-1,63%;-1,31%;3,68%;10
RBRR11;PAPÉIS;90;3.496.665,83;0,96;0,7;0,77%;2,75%;6,16%;11,67%;0,92%;1,03%;0,97%;7,27%;1,11%;1,89%;11,29%;1.270.081.176,60;95,15;0,95;0,74%;-1,87%;-1,15%;3,12%;0
RBRS11;FUNDO DE DESENVOLVIMENTO;53,91;53.526,62;0,58;0,4;0,72%;2,17%;4,48%;8,95%;0,72%;0,75%;0,75%;5,96%;-1,69%;-0,98%;8,67%;163.419.300,39;94,15;0,57;0,51%;5,05%;5,58%;5,52%;2
RBRX11;INDEFINIDO;92,52;914.460,76;0,97;1,1;1,16%;3,68%;7,71%;16,73%;1,23%;1,29%;1,39%;8,97%;0,01%;1,17%;14,36%;181.866.175,50;N/A;N/A;N/A;N/A;N/A;N/A;0
RBRY11;PAPÉIS;102,04;1.268.758,62;1,03;1,2;1,18%;3,70%;7,57%;14,11%;1,23%;1,26%;1,18%;8,77%;1,27%;2,46%;14,22%;548.266.353,36;99,3;1,03;1,01%;-0,58%;0,42%;3,41%;0
RBTS11;FUNDO DE DESENVOLVIMENTO;1.111,00;1.111,00;1,37;21,93;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;46.273.696,75;919,32;1,21;5,13%;-16,41%;-12,13%;-12,21%;0
RBVA11;VAREJO;109,07;706.472,52;1,01;1;0,89%;2,74%;5,75%;12,30%;0,91%;0,96%;1,03%;7,79%;1,64%;2,54%;31,00%;1.254.508.454,86;103,19;1,06;1,04%;0,12%;1,16%;11,23%;77
RBVO11;PAPÉIS;8,4;2.252,83;0,47;0,02;0,24%;0,59%;0,94%;1,92%;0,20%;0,16%;0,16%;1,25%;-2,44%;-2,20%;-19,45%;9.306.848,49;17,37;0,48;0,12%;-0,59%;-0,47%;-22,44%;0
RCFF11;FUNDO DE FUNDOS;83,01;2.019,60;0,89;1,23;1,32%;1,32%;4,19%;4,19%;0,44%;0,84%;0,84%;1,32%;0,00%;0,00%;N/A;30.044.060,32;94,05;0,88;1,86%;-0,06%;1,80%;1,80%;0
RCRB11;LAJES CORPORATIVAS;152,29;905.775,83;0,73;0,77;0,51%;1,53%;3,40%;6,95%;0,51%;0,57%;0,58%;4,67%;1,37%;1,89%;33,06%;769.030.231,50;209,58;0,73;0,36%;6,32%;6,71%;10,57%;9
RDPD11;PAPÉIS;22,96;98.337,21;1,06;0,3;1,32%;6,39%;20,10%;48,89%;2,13%;3,35%;4,07%;29,45%;7,36%;8,77%;-0,47%;24.085.452,18;33,95;0,68;0,94%;-37,05%;-36,45%;-36,01%;0
RECR11;PAPÉIS;88,37;3.888.718,52;0,91;0,6;0,67%;2,47%;6,70%;11,95%;0,82%;1,12%;1,00%;8,92%;1,24%;1,92%;9,95%;2.548.240.436,92;95,33;0,93;0,77%;0,00%;0,77%;12,72%;1
RECT11;LAJES CORPORATIVAS;46,46;458.943,28;0,51;0,4;0,82%;2,35%;5,24%;10,84%;0,78%;0,87%;0,90%;7,33%;-5,32%;-4,54%;-2,62%;790.437.095,33;95,24;0,49;0,53%;-0,21%;0,31%;3,29%;9
RECX11;FUNDO DE FUNDOS;68,92;10.087,29;0,89;0,6;0,88%;2,67%;5,69%;11,68%;0,89%;0,95%;0,97%;6,78%;-3,74%;-2,89%;4,37%;16.740.110,32;78,36;0,88;0,77%;-3,80%;-3,06%;-5,68%;0
REIT11;PAPÉIS;190;433;0,65;9,59;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;7.659.273,22;N/A;N/A;N/A;N/A;N/A;N/A;0
RELG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;54,58;151.476,24;0,44;0,7;0,99%;3,06%;5,46%;12,21%;1,02%;0,91%;1,02%;1,97%;-1,19%;-0,21%;-1,43%;164.782.039,95;118,54;0,46;0,67%;-0,33%;0,34%;4,62%;5
RFOF11;FUNDO DE FUNDOS;80,12;95.766,66;0,96;0,75;0,92%;2,78%;5,81%;11,70%;0,93%;0,97%;0,98%;7,85%;2,22%;3,16%;26,15%;90.246.354,50;80,55;0,99;0,91%;-6,07%;-5,22%;1,08%;0
RINV11;INDEFINIDO;110,25;475.409,62;1;2;1,80%;4,69%;7,55%;8,49%;1,56%;1,26%;1,21%;8,49%;-0,40%;1,39%;24,39%;33.025.681,79;N/A;N/A;N/A;N/A;N/A;N/A;0
RMAI11;LAJES CORPORATIVAS;51;55.424,19;0,51;0,26;0,50%;1,58%;3,26%;6,44%;0,53%;0,54%;0,54%;4,29%;6,40%;6,94%;-9,53%;242.344.280,94;108,04;0,47;0,24%;-0,05%;0,19%;2,15%;2
RNDP11;PAPÉIS;152;8.987,93;0,83;2;1,48%;10,78%;12,57%;34,48%;3,59%;2,10%;2,87%;33,96%;8,60%;10,21%;18,96%;19.296.802,91;189,52;0,8;0,41%;-40,99%;-40,75%;-69,57%;0
RNGO11;LAJES CORPORATIVAS;45,46;80.118,38;0,52;0,36;0,76%;2,29%;4,83%;10,14%;0,76%;0,81%;0,85%;6,65%;-4,53%;-3,80%;3,51%;231.625.120,49;87,68;0,52;0,49%;-0,02%;0,47%;5,37%;4
ROOF11;FUNDO DE DESENVOLVIMENTO;500;7.952,29;0,84;41,72;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;45.918.329,95;N/A;N/A;N/A;N/A;N/A;N/A;76
RPRI11;PAPÉIS;97,99;173.289,62;0,97;0,87;0,87%;3,06%;7,05%;14,68%;1,02%;1,18%;1,22%;9,62%;1,52%;2,41%;12,87%;229.002.305,38;N/A;N/A;N/A;N/A;N/A;N/A;0
RRCI11;PAPÉIS;81,38;36.026,83;0,89;0,95;1,14%;3,45%;7,14%;13,92%;1,15%;1,19%;1,16%;9,43%;-1,44%;-0,32%;4,53%;44.731.027,28;94,44;0,86;0,95%;-1,49%;-0,56%;10,78%;0
RSPD11;FUNDO DE DESENVOLVIMENTO;1.125,00;3.375,00;0,98;8,72;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;N/A;170.687.461,60;1.130,10;1;0,98%;-1,08%;-0,11%;-0,11%;0
RURA11;MISTO;10,55;1.668.916,07;N/A;0,12;1,13%;3,66%;7,03%;13,94%;1,22%;1,17%;1,16%;9,04%;-1,85%;-0,74%;12,15%;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0
RVBI11;FUNDO DE FUNDOS;83,65;238.814,21;0,96;0,75;0,89%;2,64%;5,64%;11,69%;0,88%;0,94%;0,97%;7,76%;-4,91%;-4,06%;24,10%;125.506.186,92;83,87;1;0,89%;-2,88%;-2,01%;5,11%;0
RZAG11;INDEFINIDO;9,64;2.621.219,52;0,98;0,14;1,40%;4,16%;8,11%;15,59%;1,39%;1,35%;1,30%;10,61%;2,33%;3,76%;13,10%;647.813.930,73;9,52;1,01;1,37%;-0,40%;0,96%;13,55%;0
RZAK11;PAPÉIS;92,89;3.987.418,62;0,99;1,16;1,24%;3,81%;7,72%;16,29%;1,27%;1,29%;1,36%;8,92%;-1,71%;-0,49%;4,33%;821.461.572,67;92,64;1;1,62%;-0,41%;1,20%;7,90%;0
RZAT11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;91,09;622.887,69;0,9;0,75;0,81%;2,96%;7,39%;12,24%;0,99%;1,23%;1,02%;8,52%;-4,76%;-3,99%;13,13%;370.802.272,62;N/A;N/A;N/A;N/A;N/A;N/A;10
RZTR11;MISTO;98;2.012.909,45;1,01;0,85;0,86%;2,69%;5,64%;12,07%;0,90%;0,94%;1,01%;7,59%;5,00%;5,90%;6,44%;1.074.905.610,79;97,31;1,01;1,28%;0,00%;1,29%;10,37%;17
SADI11;PAPÉIS;87,5;398.916,76;0,92;1;1,13%;3,44%;7,02%;13,96%;1,15%;1,17%;1,16%;9,36%;0,38%;1,51%;5,14%;147.342.238,32;99,2;0,88;1,06%;-0,88%;0,17%;9,92%;0
SARE11;MISTO;54,28;1.699.202,79;0,57;0,48;0,86%;2,59%;5,65%;11,31%;0,86%;0,94%;0,94%;7,74%;-8,44%;-7,65%;-11,42%;872.840.322,36;94,59;0,57;0,68%;-3,24%;-2,59%;2,42%;3
SCPF11;SHOPPINGS;4,95;3.179,79;0,43;0,02;0,46%;1,36%;2,76%;5,30%;0,45%;0,46%;0,44%;3,67%;-1,97%;-1,52%;-7,76%;49.092.959,05;12,61;0,39;0,14%;0,29%;0,43%;2,55%;1
SDIL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;96,5;1.030.917,86;1,01;0,75;0,76%;2,49%;5,22%;10,27%;0,83%;0,87%;0,86%;6,12%;2,04%;2,82%;10,51%;612.048.658,06;98,33;0,98;0,83%;-0,22%;0,61%;9,86%;5
